Sample;Metric;Threshold;PostId;PostHistoryId;RuntimeText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;RuntimeCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode
TestManager;winnowingThreeGramDiceNormalized;0.3;22037280;69262919;6;3;6;0;0;3;2;2;0;0
TestManager;winnowingThreeGramDiceNormalized;0.3;22037280;147248795;6;3;6;0;0;3;2;2;0;0
TestManager;winnowingFourGramDiceNormalized;0.3;22037280;58996741;6;0;0;0;0;0;0;0;0;0
TestManager;winnowingFourGramDiceNormalized;0.3;22037280;58997388;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramDiceNormalized;0.3;22037280;59004094;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramDiceNormalized;0.3;22037280;59078493;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramDiceNormalized;0.3;22037280;60329723;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramDiceNormalized;0.3;22037280;69262919;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramDiceNormalized;0.3;22037280;147248795;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDiceNormalized;0.3;22037280;58996741;6;0;0;0;0;0;0;0;0;0
TestManager;winnowingFiveGramDiceNormalized;0.3;22037280;58997388;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDiceNormalized;0.3;22037280;59004094;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDiceNormalized;0.3;22037280;59078493;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDiceNormalized;0.3;22037280;60329723;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDiceNormalized;0.3;22037280;69262919;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDiceNormalized;0.3;22037280;147248795;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramOverlap;0.3;22037280;58996741;6;0;0;0;0;0;0;0;0;0
TestManager;winnowingTwoGramOverlap;0.3;22037280;58997388;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramOverlap;0.3;22037280;59004094;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramOverlap;0.3;22037280;59078493;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramOverlap;0.3;22037280;60329723;6;2;6;0;1;0;2;2;0;0
TestManager;winnowingTwoGramOverlap;0.3;22037280;69262919;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramOverlap;0.3;22037280;147248795;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramOverlap;0.3;22037280;58996741;4;0;0;0;0;0;0;0;0;0
TestManager;winnowingThreeGramOverlap;0.3;22037280;58997388;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramOverlap;0.3;22037280;59004094;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramOverlap;0.3;22037280;59078493;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramOverlap;0.3;22037280;60329723;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramOverlap;0.3;22037280;69262919;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramOverlap;0.3;22037280;147248795;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramOverlap;0.3;22037280;58996741;4;0;0;0;0;0;0;0;0;0
TestManager;winnowingFourGramOverlap;0.3;22037280;58997388;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramOverlap;0.3;22037280;59004094;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramOverlap;0.3;22037280;59078493;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramOverlap;0.3;22037280;60329723;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramOverlap;0.3;22037280;69262919;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramOverlap;0.3;22037280;147248795;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramOverlap;0.3;22037280;58996741;4;0;0;0;0;0;0;0;0;0
TestManager;winnowingFiveGramOverlap;0.3;22037280;58997388;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramOverlap;0.3;22037280;59004094;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramOverlap;0.3;22037280;59078493;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramOverlap;0.3;22037280;60329723;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramOverlap;0.3;22037280;69262919;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramOverlap;0.3;22037280;147248795;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramOverlapNormalized;0.3;22037280;58996741;6;0;0;0;0;0;0;0;0;0
TestManager;winnowingTwoGramOverlapNormalized;0.3;22037280;58997388;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramOverlapNormalized;0.3;22037280;59004094;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramOverlapNormalized;0.3;22037280;59078493;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramOverlapNormalized;0.3;22037280;60329723;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramOverlapNormalized;0.3;22037280;69262919;6;3;6;0;0;0;2;2;0;0
